program	sb.10	sb.100	sb.1000	sb.10000
annotate	0.579	0.89	4.12	49.184
ave_seq_length	0.55	0.629	1.342	8.795
back_translate	0.64	1.407	9.012	90.381
clean_seq	0.58	0.842	3.409	30.011
complement	0.563	0.687	1.87	14.204
concat_seqs	0.565	0.692	1.908	14.537
count_codons	0.578	0.786	17.312	31.564
count_residues	0.563	0.69	1.889	14.377
degenerate_sequence	0.591	0.965	4.529	41.339
delete_features	0.56	0.678	1.772	13.225
delete_large	0.555	0.659	1.609	11.45
delete_metadata	0.555	0.649	1.501	10.516
delete_records	0.565	0.76	2.743	25.173
delete_repeats	0.579	0.872	3.843	49.736
delete_small	0.566	0.657	1.586	11.508
extract_feature_sequences	0.829	3.237	20.14	189.753
extract_regions	0.585	0.907	3.892	34.384
find_CpG	1.609	8.953	75.896	754.787
find_orfs	0.595	0.91	4.157	39.686
find_pattern	0.554	0.657	1.611	11.467
find_repeats	0.556	0.688	1.973	15.66
find_restriction_sites	0.579	0.865	3.625	32.584
group_by_prefix	0.571	0.802	3.132	27.722
group_by_regex	0.573	0.801	3.13	27.852
guess_alphabet	0.55	0.63	1.328	8.806
guess_format	0.54	0.552	0.57	0.921
hash_seq_ids	0.558	0.693	1.942	16.082
insert_seq	0.564	0.767	2.831	25.102
isoelectric_point	0.549	0.619	1.236	7.873
list_features	0.554	0.66	1.597	11.291
list_ids	0.552	0.638	1.344	8.865
lowercase	0.56	0.696	1.88	14.186
make_ids_unique	0.557	0.692	1.875	14.118
map_features_nucl2prot	0.645	1.525	10.889	108.514
map_features_prot2nucl	0.656	1.61	11.661	116.317
merge	0.609	1.207	7.062	70.055
molecular_weight	0.553	0.685	1.775	13.219
num_seqs	0.546	0.636	1.332	8.798
order_features_alphabetically	0.554	0.693	1.872	14.206
order_features_by_position	0.555	0.694	1.864	14.138
order_ids	0.555	0.693	1.871	14.21
order_ids_randomly	0.56	0.748	2.498	21.161
pull_random_record	0.553	0.642	1.338	9.067
pull_record_ends	0.554	0.678	1.785	13.395
pull_records	0.55	0.65	1.455	10.03
pull_records_with_feature	0.551	0.636	1.38	9.191
rename_ids	0.559	0.695	1.934	14.788
replace_subseq	0.546	0.65	1.56	10.998
reverse_complement	0.555	0.692	1.914	14.672
reverse_transcribe	0.55	0.658	1.618	11.548
screw_formats	0.55	0.633	1.366	9.061
select_frame	0.555	0.692	1.936	15.011
shuffle_seqs	0.595	1.022	4.887	44.31
transcribe	0.554	0.687	1.886	14.266
translate	0.707	1.319	7.619	76.94
translate6frames	0.986	4.69	45.183	478.118
uppercase	0.553	0.688	1.883	14.237
