# SeqBuddy
flag,options,module,reference,third_party
annotate,misc_feature 1-10,seqbuddy,dna,False
ave_seq_length,,seqbuddy,dna,False
back_translate,,seqbuddy,pep,False
bl2seq,,seqbuddy,dna,True
blast,mnemiopsis_leidyi,seqbuddy,dna,True
clean_seq,,seqbuddy,dna,False
complement,,seqbuddy,dna,False
concat_seqs,,seqbuddy,dna,False
count_codons,,seqbuddy,dna,False
count_residues,concatenate,seqbuddy,dna,False
degenerate_sequence,1,seqbuddy,pep,False
delete_features,TMD1,seqbuddy,dna,False
delete_large,4000,seqbuddy,dna,False
delete_metadata,,seqbuddy,dna,False
delete_records,Aae-,seqbuddy,dna,False
delete_repeats,,seqbuddy,dna,False
delete_small,1000,seqbuddy,dna,False
extract_feature_sequences,TMD1,seqbuddy,dna,False
extract_regions,:50,seqbuddy,dna,False
find_CpG,-o genbank,seqbuddy,dna,False
find_orfs,-o genbank,seqbuddy,dna,False
find_pattern,\'LLL\' \'LLY\',seqbuddy,pep,False
find_repeats,3,seqbuddy,dna,False
find_restriction_sites,commercial,seqbuddy,dna,False
group_by_prefix, tmp_dir.path,seqbuddy,dna,False
group_by_regex,%s Sra % tmp_dir.path,seqbuddy,dna,False
guess_alphabet,reference/*,seqbuddy,dna,False
guess_format,reference/*,seqbuddy,dna,False
hash_seq_ids,10,seqbuddy,dna,False
insert_seq,DYKDDDDK 0,seqbuddy,pep,False
isoelectric_point,,seqbuddy,pep,False
list_features,,seqbuddy,dna,False
list_ids,3,seqbuddy,dna,False
lowercase,,seqbuddy,dna,False
make_ids_unique,10 \'-\',seqbuddy,dna,False
map_features_nucl2prot,,seqbuddy,dna/pep,False
map_features_prot2nucl,,seqbuddy,dna/pep,False
merge,,seqbuddy,dna/dna,False
molecular_weight,,seqbuddy,dna,False
num_seqs,,seqbuddy,dna,False
order_features_alphabetically,,seqbuddy,dna,False
order_features_by_position,,seqbuddy,dna,False
order_ids,,seqbuddy,dna,False
order_ids_randomly,,seqbuddy,dna,False
prosite_scan,strict,seqbuddy,pep,True
pull_random_record,10,seqbuddy,dna,False
pull_records,Aae-Panx,seqbuddy,dna,False
pull_record_ends,-100,seqbuddy,dna,False
pull_records_with_feature,PHOSPHO,seqbuddy,dna,False
purge,230,seqbuddy,dna,True
rename_ids,Mle Mnemiopsis,seqbuddy,dna,False
replace_subseq,IL].{1\,4}[IL] _motif_,seqbuddy,pep,False
reverse_complement,,seqbuddy,dna,False
reverse_transcribe,,seqbuddy,rna,False
screw_formats,fasta,seqbuddy,dna,False
select_frame,3,seqbuddy,dna,False
shuffle_seqs,,seqbuddy,dna,False
translate,,seqbuddy,dna,False
translate6frames,,seqbuddy,dna,False
transcribe,,seqbuddy,dna,False
transmembrane_domains,,seqbuddy,pep,True
uppercase,,seqbuddy,dna,False
# AlignBuddy
alignment_lengths,,alignbuddy,,False
back_transcribe,,alignbuddy,,False
bootstrap,3,alignbuddy,,False
clean_seq,strict,alignbuddy,,False
concat_alignments,[a-z]{3}-Panx,alignbuddy,,False
consensus,,alignbuddy,,False
delete_records,PanxγA,alignbuddy,,False
enforce_triplets,,alignbuddy,,False
extract_regions,10 110,alignbuddy,,False
generate_alignment,mafft,alignbuddy,,False
hash_ids,10,alignbuddy,,False
list_ids,3,alignbuddy,,False
lowercase,,alignbuddy,,False
mapfeat2align,All_pannexins_pep.gb,alignbuddy,,False
num_seqs,,alignbuddy,,False
order_ids,rev,alignbuddy,,False
pull_records,PanxβB PanxβC,alignbuddy,,False
rename_ids,Mle Mnemiopsis,alignbuddy,,False
screw_formats,fasta,alignbuddy,,False
split_to_files,~/BuddySuite/diagnostics/files_al Pannexin_,alignbuddy,,False
transcribe,,alignbuddy,,False
translate,,alignbuddy,,False
trimal,clean,alignbuddy,,False
uppercase,,alignbuddy,,False
# Phylobuddy
collapse_polytomies,length 0.1,phylobuddy,,False
consensus_tree,0.5,phylobuddy,,False
display_trees,,phylobuddy,,False
distance,uwrf,phylobuddy,,False
generate_tree,raxmlHPC-SSE3 -o nexus,phylobuddy,,False
hash_ids,3,phylobuddy,,False
list_ids,3,phylobuddy,,False
num_tips,,phylobuddy,,False
print_trees,,phylobuddy,,False
prune_taxa,Cte-PanxζI,phylobuddy,,False
rename_ids,α A,phylobuddy,,False
root,2,phylobuddy,,False
screw_formats,newick,phylobuddy,,False
show_unique,,phylobuddy,,False
split_polytomies,,phylobuddy,,False
unroot,,phylobuddy,,False
